2000-05-04|RED|H/Body 25.00 |T/Body 37.00 |CHG_PCT 3.1 |CHG/ATR nan |B/CHG 0.01 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.5 |V/PREV 0.3 |O 23.0 |H 23.2 |L 22.6 |C 23.0 |V 28 Thousand
2000-05-05|RED|H/Body 0.18 |T/Body 0.18 |CHG_PCT -8.1 |CHG/ATR nan |B/CHG -0.73 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.4 |V/PREV 2.5 |O 22.5 |H 22.8 |L 20.9 |C 21.1 |V 68 Thousand
2000-05-08|RED|H/Body 0.62 |T/Body 0.00 |CHG_PCT -3.5 |CHG/ATR nan |B/CHG -0.67 |B/ATR nan |V/LONG 1.9 |V/SHORT 2.8 |V/PREV 2.0 |O 20.9 |H 21.2 |L 20.4 |C 20.4 |V 132 Thousand
2000-05-09|RED|H/Body 0.00 |T/Body 0.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.4 |V/SHORT 0.4 |V/PREV 0.2 |O 20.8 |H 20.8 |L 20.4 |C 20.4 |V 28 Thousand
2000-05-10|NIU|H/Body 0.00 |T/Body 0.00 |CHG_PCT 3.7 |CHG/ATR nan |B/CHG 1.00 |B/ATR nan |V/LONG 0.1 |V/SHORT 0.1 |V/PREV 0.3 |O 20.4 |H 21.1 |L 20.4 |C 21.1 |V 10 Thousand
2000-05-11|NIU|H/Body 1.03 |T/Body 2.89 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 0.43 |B/ATR nan |V/LONG 0.2 |V/SHORT 0.3 |V/PREV 1.8 |O 21.6 |H 22.4 |L 20.6 |C 22.0 |V 17 Thousand
2000-05-12|NIU|H/Body 0.88 |T/Body 0.12 |CHG_PCT 0.3 |CHG/ATR nan |B/CHG 8.33 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.3 |V/PREV 1.0 |O 21.6 |H 22.5 |L 21.5 |C 22.1 |V 18 Thousand
2000-05-15|NIU|H/Body 0.07 |T/Body 0.35 |CHG_PCT 4.5 |CHG/ATR nan |B/CHG 1.06 |B/ATR nan |V/LONG 0.9 |V/SHORT 1.5 |V/PREV 3.5 |O 22.0 |H 23.1 |L 21.6 |C 23.1 |V 62 Thousand
2000-05-16|NIU|H/Body 0.06 |T/Body 0.12 |CHG_PCT 4.1 |CHG/ATR nan |B/CHG 1.06 |B/ATR nan |V/LONG 0.4 |V/SHORT 0.9 |V/PREV 0.4 |O 23.0 |H 24.1 |L 22.9 |C 24.0 |V 24 Thousand
2000-05-17|RED|H/Body 1.00 |T/Body 2.26 |CHG_PCT -1.8 |CHG/ATR nan |B/CHG -0.43 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.7 |V/PREV 0.7 |O 23.8 |H 23.9 |L 23.1 |C 23.6 |V 18 Thousand
2000-05-18|NIU|H/Body 0.20 |T/Body 0.22 |CHG_PCT 1.4 |CHG/ATR nan |B/CHG 2.75 |B/ATR nan |V/LONG 0.3 |V/SHORT 0.7 |V/PREV 1.1 |O 23.0 |H 24.1 |L 22.8 |C 23.9 |V 20 Thousand
2000-05-19|NIU|H/Body 0.23 |T/Body 0.00 |CHG_PCT 4.7 |CHG/ATR nan |B/CHG 0.97 |B/ATR nan |V/LONG 0.6 |V/SHORT 1.3 |V/PREV 1.9 |O 23.9 |H 25.2 |L 23.9 |C 25.0 |V 36 Thousand
2000-05-22|NIU|H/Body 0.00 |T/Body 1.00 |CHG_PCT 0.0 |CHG/ATR nan |B/CHG inf |B/ATR nan |V/LONG 0.3 |V/SHORT 0.6 |V/PREV 0.5 |O 24.5 |H 25.0 |L 24.0 |C 25.0 |V 18 Thousand
